origin,destination,flight_time_minutes
ATL,LAX,252
ATL,ORD,99
ATL,DFW,113
ATL,DEN,167
ATL,JFK,117
ATL,SFO,274
ATL,SEA,279
ATL,MIA,98
ATL,BOS,138
ATL,CLT,56
ATL,MCO,76
ATL,LAS,229
ATL,PHX,211
ATL,EWR,115
ATL,IAH,109
ATL,DTW,98
ATL,PHL,106
ATL,SLC,211
ATL,BHM,45
ATL,LIT,82
LAX,ATL,252
LAX,ORD,229
LAX,DFW,171
LAX,DEN,128
LAX,JFK,312
LAX,SFO,69
LAX,SEA,139
LAX,MIA,297
LAX,BOS,328
LAX,CLT,272
LAX,MCO,283
LAX,LAS,57
LAX,PHX,72
LAX,EWR,310
LAX,IAH,187
LAX,DTW,256
LAX,PHL,304
LAX,SLC,97
LAX,BHM,237
LAX,LIT,200
ORD,ATL,99
ORD,LAX,229
ORD,DFW,122
ORD,DEN,131
ORD,JFK,114
ORD,SFO,240
ORD,SEA,226
ORD,MIA,167
ORD,BOS,129
ORD,CLT,98
ORD,MCO,145
ORD,LAS,203
ORD,PHX,194
ORD,EWR,112
ORD,IAH,136
ORD,DTW,57
ORD,PHL,107
ORD,SLC,172
ORD,BHM,97
ORD,LIT,93
DFW,ATL,113
DFW,LAX,171
DFW,ORD,122
DFW,DEN,103
DFW,JFK,189
DFW,SFO,197
DFW,SEA,219
DFW,MIA,158
DFW,BOS,208
DFW,CLT,137
DFW,MCO,142
DFW,LAS,150
DFW,PHX,129
DFW,EWR,187
DFW,IAH,56
DFW,DTW,143
DFW,PHL,179
DFW,SLC,143
DFW,BHM,98
DFW,LIT,65
DEN,ATL,167
DEN,LAX,128
DEN,ORD,131
DEN,DFW,103
DEN,JFK,215
DEN,SFO,140
DEN,SEA,147
DEN,MIA,225
DEN,BOS,230
DEN,CLT,183
DEN,MCO,207
DEN,LAS,102
DEN,PHX,99
DEN,EWR,213
DEN,IAH,128
DEN,DTW,158
DEN,PHL,208
DEN,SLC,75
DEN,BHM,154
DEN,LIT,118
JFK,ATL,117
JFK,LAX,312
JFK,ORD,114
JFK,DFW,189
JFK,DEN,215
JFK,SFO,325
JFK,SEA,306
JFK,MIA,155
JFK,BOS,51
JFK,CLT,92
JFK,MCO,138
JFK,LAS,286
JFK,PHX,276
JFK,EWR,32
JFK,IAH,192
JFK,DTW,88
JFK,PHL,41
JFK,SLC,257
JFK,BHM,129
JFK,LIT,154
SFO,ATL,274
SFO,LAX,69
SFO,ORD,240
SFO,DFW,197
SFO,DEN,140
SFO,JFK,325
SFO,SEA,108
SFO,MIA,325
SFO,BOS,338
SFO,CLT,292
SFO,MCO,309
SFO,LAS,77
SFO,PHX,104
SFO,EWR,322
SFO,IAH,217
SFO,DTW,267
SFO,PHL,317
SFO,SLC,98
SFO,BHM,260
SFO,LIT,223
SEA,ATL,279
SEA,LAX,139
SEA,ORD,226
SEA,DFW,219
SEA,DEN,147
SEA,JFK,306
SEA,SFO,108
SEA,MIA,341
SEA,BOS,314
SEA,CLT,290
SEA,MCO,321
SEA,LAS,129
SEA,PHX,157
SEA,EWR,304
SEA,IAH,244
SEA,DTW,250
SEA,PHL,301
SEA,SLC,109
SEA,BHM,267
SEA,LIT,233
MIA,ATL,98
MIA,LAX,297
MIA,ORD,167
MIA,DFW,158
MIA,DEN,225
MIA,JFK,155
MIA,SFO,325
MIA,SEA,341
MIA,BOS,174
MIA,CLT,105
MIA,MCO,52
MIA,LAS,278
MIA,PHX,255
MIA,EWR,154
MIA,IAH,140
MIA,DTW,161
MIA,PHL,146
MIA,SLC,268
MIA,BHM,106
MIA,LIT,138
BOS,ATL,138
BOS,LAX,328
BOS,ORD,129
BOS,DFW,208
BOS,DEN,230
BOS,JFK,51
BOS,SFO,338
BOS,SEA,314
BOS,MIA,174
BOS,CLT,113
BOS,MCO,158
BOS,LAS,301
BOS,PHX,292
BOS,EWR,53
BOS,IAH,212
BOS,DTW,102
BOS,PHL,62
BOS,SLC,270
BOS,BHM,150
BOS,LIT,174
CLT,ATL,56
CLT,LAX,272
CLT,ORD,98
CLT,DFW,137
CLT,DEN,183
CLT,JFK,92
CLT,SFO,292
CLT,SEA,290
CLT,MIA,105
CLT,BOS,113
CLT,MCO,84
CLT,LAS,248
CLT,PHX,232
CLT,EWR,90
CLT,IAH,134
CLT,DTW,87
CLT,PHL,81
CLT,SLC,227
